fid,Plant_ID,spl_code,Airtable,unknown,x_coord,y_coord,UUID
"148",Crocus sativus L.,DBGI_SPL_000567,,,2578467.221,1182405.506,{603d34b4-24f4-4b86-968b-a56cb787a6a8}
"149",Brassica napus subsp. rapifera Metzg.,DBGI_SPL_000890,,,2578464.574,1182401.617,{db848693-7a51-48d9-ad42-0a4f8f882730}
"150",Brassica oleracea L. Gongylodes Group,DBGI_SPL_000560,,,2578464.736,1182401.109,{b4ea0067-73c2-4de6-94d4-799c5cb121a7}
"151",Brassica oleracea L. Rubra Group,DBGI_SPL_000544,,,2578465.543,1182398.871,{40a540f3-07cd-4bb1-85f8-277aab9a98ff}
"152",Brassica oleracea L. Capitata Group,DBGI_SPL_000556,,,2578465.698,1182398.608,{a911b6b3-f361-4bd6-94f7-4d4b63db8bdb}
"153",Brassica oleracea L. Gemmifera Group,DBGI_SPL_000895,,,2578466.037,1182398.172,{0083b0f0-bc54-40f0-820d-7731b15295eb}
"154",Brassica oleracea L. Sabauda Group,DBGI_SPL_000892,,,2578465.958,1182398.404,{1913832d-de5b-43ad-ad1d-c14d67f134c7}
"155",Brassica oleracea L. Sabellica Group,DBGI_SPL_000546,,,2578466.245,1182397.926,{6baf43a8-2015-4b71-93d7-476bf17f6305}
"156",Aaunknown,DBGI_SPL_000552,,brassica indetermin̩,2578466.533,1182397.546,{20aea8f6-dc25-4352-91b3-bdaafaf5470c}
"157",Brassica oleracea L. subsp. oleracea,DBGI_SPL_000517,,,2578466.899,1182396.595,{ebceaea6-bb91-4d95-b65b-1a6245cf1607}
"158",Koeleria macrantha (Ledeb.) Schult.,DBGI_SPL_000894,,,2578467.182,1182396.219,{52cc4cb9-317c-44e9-9fb1-acb77dc785a0}
"159",Calamagrostis epigejos Roth.,DBGI_SPL_000883,,,2578466.514,1182395.728,{cf5c18f7-cd28-4588-8036-a85d7410e71e}
"160",Helictotrichon pubescens Pilg.,DBGI_SPL_000888,,,2578466.811,1182395.292,{773240d4-0722-45d1-a4cb-0db2585b0abf}
"161",Anthoxanthum odoratum L.,DBGI_SPL_000899,,,2578467.414,1182395.533,{5c2955d5-5453-4c41-9a9d-82623d18f3cc}
"162",Holcus lanatus L.,DBGI_SPL_000876,,,2578467.006,1182394.721,{19be02e1-079a-4cfa-8a61-c63aa88e88b1}
"163",Ammophila arenaria (L.) Link,DBGI_SPL_000886,,,2578467.331,1182394.174,{26c0f386-598a-452d-babd-994ecf7eb778}
"164",Agrostis capillaris L.,DBGI_SPL_000885,,,2578467.966,1182394.452,{e41e4660-1789-4d9e-8223-2a61094efc2c}
"165",Briza media L.,DBGI_SPL_000898,,,2578468.138,1182394.035,{1c9f494a-6554-44de-afd7-a324c9d0a4ed}
"166",Cyclamen purpurascens Mill.,DBGI_SPL_000379,,,2578474.281,1182409.435,{15e10307-9d22-494a-a1c8-a680dddd351c}
"167",,DBGI_SPL_000503,,francoa sonchifolia selon panneau,2578504.76662949,1182400.43172727,{9ed20ea8-0c1e-4726-9713-ddc7973e0022}
"168",,DBGI_SPL_000881,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recz7RNBZ8fdbHL2E,Lolium perenne,2578468.50073298,1182391.82853439,{bd24c5fa-ee74-41a9-a603-e65f615d54ab}
"169",,DBGI_SPL_000881,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recz7RNBZ8fdbHL2E,Lolium perenne,2578468.50073298,1182391.82853439,{86267abd-e245-414e-8b65-ee5b9229bea1}
"170",Sesleria argentea Savi,DBGI_SPL_000891,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/rec9SiKZWO0gnT3V3,,2578470.30818991,1182388.57907179,{e7397e58-de96-4a5d-921d-7ec264e53b52}
"171",Deschampsia cespitosa (L.) P. Beauv.,DBGI_SPL_000880,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recnFPXUtXJLNZMNc,,2578470.79914684,1182387.63101702,{5b57e5a9-98bb-4e79-bf45-96aa483e4932}
"172",Dactylis glomerata L.,DBGI_SPL_000551,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recd6mBTuL4wg9xkx,,2578471.39168107,1182387.96960801,{7ae46758-1268-4f94-9632-b7b8ef467dda}
"173",Phyllostachys nigra var. henonis (Mitford) Rendle,DBGI_SPL_000882,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/reca06XbL70uEpySL,,2578472.03500395,1182387.03848279,{e8e70d99-be71-4bb8-9eb4-47653cc475de}
"174",Fargesia robusta T.P. Yi 'Campbell',DBGI_SPL_000871,airtable:///appxkOPNiCtv6Ucww/tblzH2zLfdPf1HhIu/viwfX1MjXfIm9yaKs/recLL6o0lHklUf85v,,2578472.62753818,1182386.02270983,{d256a100-e646-4a64-a5b4-fc582830670b}
